MERK,TYPE,ACTIVITY,Fuel Tank Cap. L, Average , Low , Mid , High 
P360B,"TRUCK, SHUTDOWN, SCANIA, P360B, 6X6 ",SUPPORT,,  30 ,  24 ,  30 ,  36 
NISSAN,CWB450LDN / ST,SUPPORT,,  1 ,  1 ,  1 ,  1 
NISSAN,CWB45ALDN / ST,SUPPORT,,  1 ,  1 ,  1 ,  1 
NISSAN,CWB520LDN / ST,SUPPORT,,  1 ,  1 ,  1 ,  1 
NISSAN,TZA52PPNCT,SUPPORT,,  40 ,  32 ,  40 ,  48 
NISSAN,TZA520PPN,SUPPORT,,  40 ,  32 ,  40 ,  48 
NISSAN,CWB45A,SUPPORT,,  16 ,  13 ,  16 ,  20 
NISSAN,Lubrication Truck,SUPPORT,,  16 ,  13 ,  16 ,  20 
MULTIFLO,Water Pump,SUPPORT,,  39 ,  27 ,  39 ,  50 
MULTIFLO,Water Pump,SUPPORT,,  39 ,  27 ,  39 ,  50 
MULTIFLO,Tower Lamp,SUPPORT,,  2 ,  1 ,  2 ,  2 
MITSUBISHI,All New Triton GLS 4X4,SUPPORT,,  1 ,  1 ,  1 ,  1 
MITSUBISHI,All New Triton HDX 4X4,SUPPORT,,  1 ,  1 ,  1 ,  1 
MITSUBISHI,"Pajero Sport2,5L Exceed (4X27, 5M/1)",SUPPORT,,  1 ,  1 ,  1 ,  1 
MITSUBISHI,COLT DIESEL FE71L BC NC (4X2) M/T,SUPPORT,,  1 ,  1 ,  1 ,  1 
MITSUBISHI,FE 84 BC,SUPPORT,,  1 ,  1 ,  1 ,  1 
MITSUBISHI,FE 84G BC,SUPPORT,,  1 ,  1 ,  1 ,  1 
MITSUBISHI,MITSUBISHI,SUPPORT,,  1 ,  1 ,  1 ,  1 
MITSUBISHI,Colt Diesel FE-74 HDV,SUPPORT,,  15 ,  12 ,  15 ,  18 
MITSUBISHI,COLT DIESEL PS110,SUPPORT,,  1 ,  1 ,  1 ,  1 
MITSUBISHI,FE74 HD ,SUPPORT,,  1 ,  1 ,  1 ,  1 
MITSUBISHI,HD125 CANTER,SUPPORT,,  1 ,  1 ,  1 ,  1 
MITSUBISHI,PS120,SUPPORT,,  1 ,  1 ,  1 ,  1 
MITSUBISHI,PS120 (8246LR),SUPPORT,,  1 ,  1 ,  1 ,  1 
MITSUBISHI,Pajero Sport,SUPPORT,,  1 ,  1 ,  1 ,  1 
MITSUBISHI,Mitsubishi Pajero,SUPPORT,,  1 ,  1 ,  1 ,  1 
MILLER,BIG BLUE 500 X,SUPPORT,,  4 ,  3 ,  4 ,  4 
MILLER,D 2011 L 04 I,SUPPORT,,  10 ,  8 ,  10 ,  12 
MILLER,"Welder, CO1",SUPPORT,,  10 ,  8 ,  10 ,  12 
MILLER,Welding Travo,SUPPORT,,  1 ,  1 ,  1 ,  1 
MILLER,"Welder, Machine",SUPPORT,,  10 ,  8 ,  10 ,  12 
MILLER,Hi-Pressure Pump,SUPPORT,,  39 ,  27 ,  39 ,  50 
MILLER,"Welder, CO2",SUPPORT,,  10 ,  8 ,  10 ,  12 
MILLER,Sump Pump,SUPPORT,,  39 ,  27 ,  39 ,  50 
MF420EXHV,"PUMP, MULTIFLO, MF420EXHV, CAT C27",SUPPORT,,  45 ,  36 ,  45 ,  54 
MF420A05Y-IMP,"WATER PUMP, Multiflo, MF420A05Y-IMP",SUPPORT,,  45 ,  36 ,  45 ,  54 
MF420,"PUMP, MULTIFLO, MF420[c/w16MA0110]",SUPPORT,,  45 ,  36 ,  45 ,  54 
MF385HP,"PUMP, DEWATERING, WEIR, MF385HP, CAT C13",SUPPORT,,  45 ,  36 ,  45 ,  54 
MF290,"PUMP, MULTIFLO, MF290[c/w16MA0120]",SUPPORT,,  45 ,  36 ,  45 ,  54 
Mercy,Arocs 4040K,HAULING,,  24 ,  18 ,  24 ,  32 
Mercy,Arocs 4042K,HAULING,,  24 ,  18 ,  24 ,  32 
Mercy,Arocs 4845K,HAULING,,  24 ,  18 ,  24 ,  32 
MERCEDES BENZ,ACTROSS 3939,HAULING,,  30 ,  24 ,  30 ,  36 
MERCEDES BENZ,AROCS 4042,HAULING,,  24 ,  18 ,  24 ,  32 
MERCEDES BENZ,ACTROSS 4843,HAULING,,  30 ,  24 ,  30 ,  36 
MERCEDES BENZ,AROCS 4845,HAULING,,  24 ,  18 ,  24 ,  32 
MD6290,"DRILLING, CRAWLER, CATERPILLAR, MD6290",SUPPORT,,  110 ,  88 ,  110 ,  132 
MB2528CH-FT,"FUEL TRUCK, MERCEDES-BENZ, MB2528CH-FT",SUPPORT,,  30 ,  24 ,  30 ,  36 
MB AXOR 2528CX,"WATER TRUCK, MERCEDES BENZ, MB AXOR 2528CX",SUPPORT,,  30 ,  24 ,  30 ,  36 
Manitou,MT 1740 SLT,SUPPORT,,  10 ,  8 ,  10 ,  12 
Manitou,MT-X1840 E3,SUPPORT,,  10 ,  8 ,  10 ,  12 
Manitou,MT1440,SUPPORT,,  10 ,  8 ,  10 ,  12 
MANITOU,Maniscopic (New),SUPPORT,,  10 ,  8 ,  10 ,  12 
MANITOU,Forklift,SUPPORT,,  9 ,  7 ,  9 ,  11 
LTM 1055-3.2,"CRANE, WHEEL, LIEBHERR, LTM 1055-3.2 55T",SUPPORT,,  10 ,  8 ,  10 ,  12 
LSA 6X8-25,"PUMP, KSB, LSA 6X6-25, CAT C27",SUPPORT,Water Pump,  40 ,  23 ,  40 ,  63 
LSA 6X8-25,"PUMP, KSB, LSA 6X8-25, CAT C27",SUPPORT,Water Pump,  40 ,  23 ,  40 ,  63 
"LOWBOY ,80T","TRAILER, LOWBOY, SSB",SUPPORT,,  50 ,  40 ,  50 ,  60 
LCC-H200-610.5K AB M1,"WATER PUMP, Volvo Penta KSB, LCC-H200-610.5K AB M1",SUPPORT,,  30 ,  24 ,  30 ,  36 
KUBOTA,Mega Tower,SUPPORT,,  1 ,  1 ,  1 ,  1 
KUBOTA,Mini Tower,SUPPORT,,  1 ,  1 ,  1 ,  1 
KSB,Water Pump,SUPPORT,,  12 ,  8 ,  12 ,  15 
KOMATSU,HD785-7,HAULING,,  77 ,  58 ,  77 ,  93 
KOMATSU,PC2000-8,LOADING,,  100 ,  84 ,  100 ,  147 
KOMATSU,D 85 E-SS DZ,SUPPORT,,  27 ,  18 ,  27 ,  37 
KOMATSU,D155A-6,SUPPORT,,  34 ,  23 ,  34 ,  46 
KOMATSU,GD535-5 MG,SUPPORT,,  11 ,  8 ,  11 ,  17 
KOMATSU,GD825A-2,SUPPORT,,  27 ,  18 ,  27 ,  35 
KOMATSU,PC200-8MO,SUPPORT,,  12 ,  8 ,  12 ,  19 
KOMATSU,PC400LCSE-8R,SUPPORT,,  32 ,  26 ,  32 ,  48 
Komatsu,D85ESS-2,SUPPORT,,  27 ,  18 ,  27 ,  37 
Komatsu,D155A-6,SUPPORT,,  34 ,  23 ,  34 ,  46 
Komatsu,GD 535,SUPPORT,,  11 ,  8 ,  11 ,  17 
Komatsu,PC-200-10,SUPPORT,,  12 ,  8 ,  12 ,  19 
KOMATSU,HD4657RPM,HAULING,,  47 ,  33 ,  47 ,  66 
KOMATSU,HD7857WT,HAULING,1308,  77 ,  58 ,  77 ,  93 
KOMATSU,HD7857MUD,HAULING,1308,  77 ,  58 ,  77 ,  93 
KOMATSU,HD7857,HAULING,1308,  77 ,  58 ,  77 ,  93 
KOMATSU,HD7858,HAULING,1308,  77 ,  58 ,  77 ,  93 
KOMATSU,D155A6R,HAULING,,  29 ,  17 ,  29 ,  40 
KOMATSU,D155A-6R,HAULING,,  29 ,  17 ,  29 ,  40 
KOMATSU,D375A-6R,HAULING,,  64 ,  47 ,  64 ,  80 
KOMATSU,PC1250SP8,LOADING,,  64 ,  52 ,  64 ,  87 
KOMATSU,PC1250-11R,LOADING,,  59 ,  48 ,  59 ,  81 
KOMATSU,EX12006,LOADING,,  65 ,  50 ,  65 ,  80 
KOMATSU,PC2000-8,LOADING,,  100 ,  84 ,  100 ,  147 
KOMATSU,PC2000-11R,LOADING,,  100 ,  84 ,  100 ,  147 
KOMATSU,PC8508R1,LOADING,,  38 ,  30 ,  38 ,  55 
KOMATSU,PC400SE8,LOADING,,  29 ,  23 ,  29 ,  40 
KOMATSU,PC3400,LOADING,,  195 ,  145 ,  195 ,  235 
KOMATSU,GD825A-2,SUPPORT,,  27 ,  18 ,  27 ,  35 
KOMATSU,PC1250-11,LOADING,,  59 ,  48 ,  59 ,  81 
KOMATSU,HD7857FLEXY,HAULING,1308,  77 ,  58 ,  77 ,  93 
KOMATSU,D155A6A,SUPPORT,,  29 ,  17 ,  29 ,  40 
KOMATSU,WA380,SUPPORT,,  17 ,  13 ,  17 ,  22 
KOMATSU,Water Truck,SUPPORT,1308,  69 ,  48 ,  69 ,  93 
KOMATSU,DZ85-SS,SUPPORT,,  21 ,  13 ,  21 ,  29 
KOMATSU,PC300-8,LOADING,,  21 ,  13 ,  21 ,  30 
KOMATSU,PC 210,LOADING,,  10 ,  6 ,  10 ,  14 
KOMATSU,PC300-8,LOADING,,  21 ,  13 ,  21 ,  30 
KOMATSU,PC 300-8,LOADING,,  21 ,  13 ,  21 ,  30 
KOMATSU,Forklift,SUPPORT,,  9 ,  7 ,  9 ,  11 
KOMATSU,Tyre Handler,SUPPORT,,  19 ,  12 ,  19 ,  26 
KOMATSU,ANFO Truck,SUPPORT,,  11 ,  9 ,  11 ,  13 
KOMATSU,Prime Mover,SUPPORT,,  39 ,  25 ,  39 ,  53 
KIA,KIA,SUPPORT,,  1 ,  1 ,  1 ,  1 
KAESER,"COMPRESSOR, DIESEL, KAESER, M100, 180CFM, 10 BAR",SUPPORT,,  5 ,  4 ,  5 ,  6 
KAESER,"COMPRESSOR, DSL, KAESER, M100",SUPPORT,,  5 ,  4 ,  5 ,  6 
KAESER,"COMPRESSOR, DSL,KAESER, M31",SUPPORT,,  5 ,  4 ,  5 ,  6 
KAESER,"COMPRESSOR, ELC, KAESER, BSD75T/10",SUPPORT,,  5 ,  4 ,  5 ,  6 
KAESER,"COMPRESSOR, ELECTRIC,KAESER, BSD75T/10, 175FCM",SUPPORT,,  5 ,  4 ,  5 ,  6 
KAESER,"COMPRESSOR, KAESER, M31, PORTABLE",SUPPORT,,  5 ,  4 ,  5 ,  6 
KAESER,Air Compressor,SUPPORT,,  12 ,  10 ,  12 ,  14 
ISUZU FVZ 285,FCR34L 285PS FT,SUPPORT,,  10 ,  8 ,  10 ,  12 
ISUZU FVZ 285,FCR34L 285PS WT,SUPPORT,,  10 ,  8 ,  10 ,  12 
ISUZU,NMR 71,SUPPORT,,  9 ,  7 ,  9 ,  10 
ISUZU,FVZ34NHP61011L2S,SUPPORT,,  1 ,  1 ,  1 ,  1 
ISUZU,NQR71ECE2-1 - ISUZU MBBIS,SUPPORT,,  1 ,  1 ,  1 ,  1 
ISUZU,NQR 71 EC,SUPPORT,,  1 ,  1 ,  1 ,  1 
ISUZU,FVR 245,SUPPORT,,  18 ,  14 ,  18 ,  22 
ISUZU,FVR 285,SUPPORT,,  18 ,  14 ,  18 ,  22 
ING - RAND,Air Compressor,SUPPORT,,  12 ,  10 ,  12 ,  14 
HYUNDAI,HYUNDAI,SUPPORT,,  1 ,  1 ,  1 ,  1 
HYUNDAI,"EXCAVATOR, HYUNDAI, HX500L, 50T (77EX0121)",LOADING,,  32 ,  26 ,  32 ,  38 
HYUNDAI,"EXCAVATOR, HYUNDAI, HX500L, 50T (77EX0122)",LOADING,,  32 ,  26 ,  32 ,  38 
HYUNDAI,"EXCAVATOR,HYUNDAI, HX500L,50T (77EX0123)",LOADING,,  32 ,  26 ,  32 ,  38 
HYUNDAI,"EXCAVATOR,HYUNDAI, HX500L,50T (77EX0124)",LOADING,,  32 ,  26 ,  32 ,  38 
HYUNDAI,Hyundai,SUPPORT,,  10 ,  8 ,  10 ,  12 
HYUNDAI,Robex 210W-9S,SUPPORT,,  10 ,  8 ,  10 ,  12 
HYUNDAI,"EXCAVATOR, HYUNDAI, HX500L, 50T (77EX0121)",LOADING,,  30 ,  24 ,  30 ,  36 
HYUNDAI,"EXCAVATOR, HYUNDAI, HX500L, 50T (77EX0122)",LOADING,,  30 ,  24 ,  30 ,  36 
HYUNDAI,"EXCAVATOR,HYUNDAI, HX500L,50T (77EX0123)",LOADING,,  30 ,  24 ,  30 ,  36 
HYUNDAI,"EXCAVATOR,HYUNDAI, HX500L,50T (77EX0124)",LOADING,,  30 ,  24 ,  30 ,  36 
HYUNDAI,"WHEEL, HYUNDAI, ROBLOX210W-9S",SUPPORT,,  5 ,  4 ,  5 ,  6 
HYDROVANE,Air Compressor,SUPPORT,,  12 ,  10 ,  12 ,  14 
HT60P,"GENSET, HARTECH, HT60P, 60KVA",SUPPORT,,  2 ,  2 ,  2 ,  3 
HT60,"GENSET, HARTECH, HT35 Y",SUPPORT,,  2 ,  2 ,  2 ,  3 
HT45P,"GENSET, HARTECH, HT45P",SUPPORT,,  2 ,  2 ,  2 ,  3 
HT20Y,"GENSET, HARTECH, HT20Y",SUPPORT,,  2 ,  2 ,  2 ,  3 
HT10Y,"GENSET, HARTECH, HT10Y",SUPPORT,,  2 ,  2 ,  2 ,  3 
HT 13.5P,"GENSET, HARTECH, HT13.5P, 13.5KVA",SUPPORT,,  2 ,  2 ,  2 ,  3 
HT 10 Y,"GENSET, HARTECH, HT10Y",SUPPORT,,  2 ,  2 ,  2 ,  3 
HITACHI,ZX470LC-5G,LOADING,,  30 ,  24 ,  30 ,  36 
HITACHI,ZX890LCH-79,LOADING,,  30 ,  24 ,  30 ,  36 
HITACHI,"EXCAVATOR,  HITACHI, ZX470LC-5G, 40T",LOADING,,  32 ,  26 ,  32 ,  38 
HITACHI,"EXCAVATOR, HITACHI, ZX470LC-5G",LOADING,,  32 ,  26 ,  32 ,  38 
HITACHI,"EXCAVATOR,  HITACHI, ZX490LC-7G",LOADING,,  32 ,  26 ,  32 ,  38 
